,User_name,User_location,User_verified,RT_count,Likes,Created_at,Tweets,Hashtags
3,@WHO,"Geneva, Switzerland",True,153,422,2022-01-08 09:56:31+00:00,"It’s #CervicalCancer awareness month!
 
#HPV vaccine is highly effective. It can prevent 9⃣ in 🔟 cases of HPV – the #1 cause of cervical cancer.
 
Yes, #VaccinesWork! https://t.co/IOZnWt6OJh","['CervicalCancer', 'HPV', 'VaccinesWork']"
4,@WHO,"Geneva, Switzerland",True,333,0,2022-01-08 08:46:18+00:00,"RT @UN: ""The vaccines that are available for #COVID19 work against all variants.""

Vaccines are a critical tool for fighting the pandemic,…",['COVID19']
5,@WHO,"Geneva, Switzerland",True,42,124,2022-01-07 16:38:00+00:00,"Contributions to WHO help pay for:
✅ lab supplies in 🇸🇱
✅ #COVID19 tests in 🇺🇬
✅ vaccination in 🇬🇾, 🇻🇳, 🇱🇦 &amp; 🇱🇰
✅ medicines for 🇮🇷
✅ support to 🇾🇪’s health system amid civil war
✅ &amp; more

#WHOImpact https://t.co/IVginbFnfp","['COVID19', 'WHOImpact']"
6,@WHO,"Geneva, Switzerland",True,108,0,2022-01-07 14:45:12+00:00,"RT @DrTedros: For the first time in more than a decade, #tuberculosis mortality has increased. Reversing this devastating trend requires:…",['tuberculosis']
7,@WHO,"Geneva, Switzerland",True,92,0,2022-01-07 14:17:33+00:00,"RT @DrTedros: This piece by @paimadhu, @doctorsoumya &amp; @TerezaKasaeva powerfully illustrates how #COVID19 impacts access to #Tuberculosis c…","['COVID19', 'Tuberculosis']"
8,@WHO,"Geneva, Switzerland",True,118,243,2022-01-07 13:21:20+00:00,"Overloaded by misinformation since the beginning of the #COVID19 pandemic? Want to take part in the fight against the infodemic?

Discover our 'Infodemic Management 101' course on #OpenWHO:
👉 https://t.co/ZnHyGnJw5A https://t.co/LD7HsXCKo4","['COVID19', 'OpenWHO']"
9,@WHO,"Geneva, Switzerland",True,78,0,2022-01-07 12:06:31+00:00,"RT @WHO_Europe: #CervicalCancer is preventable. In addition to vaccination, regular screening helps detect &amp; protect women from cervical ca…",['CervicalCancer']
10,@WHO,"Geneva, Switzerland",True,2060,0,2022-01-07 11:17:20+00:00,"RT @DrTedros: Access is the lifeblood of any humanitarian response.
@WHO &amp; partners gained access to deliver health care in the most trying…",
11,@WHO,"Geneva, Switzerland",True,172,428,2022-01-07 09:49:39+00:00,"Human Papillomavirus (#HPV) is the most common sexually transmitted infection and is the cause of almost all #CervicalCancer.
 
HPV vaccine is safe and prevents cervical cancer. WHO recommends 2⃣ doses for all girls aged 9-14 years. #VaccinesWork! https://t.co/bnl5xLcXKy","['HPV', 'CervicalCancer', 'VaccinesWork']"
12,@WHO,"Geneva, Switzerland",True,421,0,2022-01-07 06:58:12+00:00,"RT @DrTedros: For people around the world celebrating #OrthodoxChristmas, please accept my best wishes for health, happiness and safety for…",['OrthodoxChristmas']
13,@WHO,"Geneva, Switzerland",True,185,0,2022-01-06 20:11:35+00:00,"RT @DrTedros: Many developed countries are showing ever stronger resolve to vaccinate their public against #COVID19. 
To end the pandemic,…",['COVID19']
